default,Identifier,Remarks,hu,it,es esm
"YOUR HEMORRHOIDS PROLAPSED, JESUS H. AS HEMORRHOIDS CHRIST!",PG_CASA_HM4,,T ENNO SCAPPATE L'EMORROIDI \n PORCAMADONNA!,- TI SONO USCITE LE EMORROIDI! \n PORCA MADONNA!,- TE HAN SALIDO LAS HEMORROIDES! \n ME CAGO EN LA VIRGEN!
- GO TO THE PHARMACY AND TAKE CARE OF YOURSELF!,PG_CASA_HM5,,- VA' N FARMACIA E CURETE!,- VAI IN FARMACIA E CURATI!,- VES A LA FARMACIA Y CURATE!
- FIND A WEAPON.,PG_CASA_HM6,,- TROVA N'ARMA.,- TROVA UN'ARMA.,- ENCUENTRA UN ARMA
GO OUT WITHOUT A WEAPON AND YOU'D BE LAUGHED AT.,PG_CASA_HM7,,ESCI DI CASA DISARMATO E FINIRAI DERISO.,ESCI DI CASA DISARMATO E FINIRAI DERISO.,SAL DE CASA DESARMADO Y ACABARÁS RIDICULIZADO.
- PRESS Q TO CREATE A GLITCH AND MAKE THE IMAGE STUTTERING!,PG_CASA_HM8,,- PIGIA Q PER MANDA' TUTTO A SCATTI!,- PREMI Q PER MANDARE TUTTO A SCATTI!,- PRESIONA Q PARA VERLO TODO A TROMPICONES
- PRESS F IF YOU CAN'T SEE SHIT!,PG_CASA_HM9,,- PIGIA F SE NN CE VEDI N CAZZO!,- PREMI F SE NON CI VEDI UN CAZZO!,- PRESIONA F SI NO VES UNA MIERDA!
,,,,,
WELCOME TO PERUGIA!,PG_PERUGIA1_HM1,,BENVENUTO A PERUGIA!,BENVENUTO A PERUGIA!,BIENVENIDO A PERUGIA!
WHAT A SHITTY PLACE!,PG_PERUGIA1_HM2,,CHE POSTO DE MERDA!,CHE POSTO DI MERDA!,QUE LUGAR DE MIERDA!
WHERE EVERYONE GETS WASTED FROM DUSK UNTIL DAWN!,PG_PERUGIA1_HM3,,DOVE TUTTI SE SFONDANO DALLA MATINA ALLA SERA!,DOVE TUTTI SI SFONDANO DALLA MATTINA ALLA SERA!,DONDE TODOS SE REVIENTAN DESDE LA MAÑANA HASTA LA NOCHE!
YOU TOO! FIND DRUGS!,PG_PERUGIA1_HM4,,ANCHE TU! \n TROVA LA DROGA!,ANCHE TU! \n TROVA LA DROGA!,TU TAMBIEN! \n ENCUENTRA LA DROGA!
AND RUN TO GET WASTED AT THE KARAOKE!,PG_PERUGIA1_HM5,,E CORRI A SFONDATTE AL KARAOKE!,E CORRI A SFONDARTI AL KARAOKE!,Y CORRE A REVENTARTE AL KARAOKE!
WATCH OUT FOR COPS!,PG_PERUGIA1_HM6,,OCCHIO AGLI SBIRRI!,OCCHIO AGLI SBIRRI!,OJO A LA PASMA!
IF YOU RAISE HELL PEOPLE WILL CALL THE POLICE,PG_PERUGIA1_HM7,,SE FAI CASINO LA GENTE CHIAMERA' I VIGILI,SE FAI CASINO LA GENTE CHIAMERA' I VIGILI,SI HACES ALBOROTO LA GENTE LLAMARÀ A LA POLI
AND THEN IT'S YOUR PROBLEM.,PG_PERUGIA1_HM8,,E SARANNO CAZZI TUI.,E SARANNO CAZZI TUOI!,Y SERÁN ASUNTOS TUYOS!
HAVE FUN!,PG_PERUGIA1_HM9,,BON DIVERTIMENTO!,BUON DIVERTIMENTO!,QUE DISFRUTES!
- FIND DRUGS IMMEDIATELY!,PG_PERUGIA1_HM10,,- TROVA LA DROGA SUBITO!,- TROVA SUBITO LA DROGA!,- ENCUENTRA LA DROGA YA!
- SURVIVE UMBRIA JAZZ,PG_PERUGIA1_HM11,,- SOPRAVVIVI A UMBRIA JAZZ,- SOPRAVVIVI A UMBRIA JAZZ,- SOBREVIVE A UMBRIA JAZZ
"UGH, SHIT, UMBRIA JAZZ IS STILL GOING",PG_PERUGIA1_HM12,,CHE SEGA C'E' UMBRIA JAZZ!,CHE SEGA C'E' UMBRIA JAZZ!,QUE COÑAZO ESTÁ UMBRIA JAZZ!
- STOP THE GIG OR PRETEND YOU'RE HAVING FUN.,PG_PERUGIA1_HM13,,- FERMA L CONCERTO O FA' FINTA DE DIVERTITTE.,- FERMA IL CONCERTO O FAI FINTA DI DIVERTIRTI!,- PARA EL CONCIERTO O HAZ CÓMO QUE TE DIVIERTE!
YOU TOOK DRUGS!,PG_PERUGIA1_HM14,,HAI PRESO LA DROGA!,HAI PRESO LA DROGA!,HAS TOMADO LA DROGA!
EVERYBODY WANTS YOUR DRUGS!,PG_PERUGIA1_HM15,,TUTTI VOGLIONO LA TU DROGA!,TUTTI VOGLIONO LA TUA DROGA!,TODOS QUIEREN TU DROGA!
- EVERYBODY WANTS TO STEAL YOUR DRUGS!,PG_PERUGIA1_HM16,,- TUTTI TE VOGLIONO INCULA' LA DROGA!,- TUTTI VOGLIONO RUBARTI LA DROGA,- TODOS QUIEREN ROBARTE LA DROGA
- KILL EVERYONE OR RUN TO GET WASTED AT THE KARAOKE!,PG_PERUGIA1_HM17,,- AMAZZA TA TUTTI O CORRI A SFONDATTE AL KARAOKE,- AMMAZZA TUTTI O CORRI A SFONDARTI AL KARAOKE!,- MATA TODOS O CORRE A REVENTARTE AL KARAOKE!
"YOU HAD A STROKE. YOU DIED,",PG_PERUGIA1_HM18,,SEI SCHIOPPETO PER ARIA E SE' MORTO!,TI E' PRESO UN COLPO. SEI MORTO.,- TE HA DADO UN JAMACUCO. ESTÁS MUERTO.
,,,,,
YOU'RE STILL ALIVE!,PG_OSP01_HM1,,SE' ANCORA VIVO!,SEI ANCORA VIVO!,ESTÁS AÚN VIVO!
- ESCAPE THE HOSPITAL WITHOUT PAYING THE CO-PAY MONEY.,PG_OSP01_HM2,,- SCAPPA DALLO SPIDELE SENZA PAGA' L TICKET.,- SCAPPA DALL OSPEDALE SENZA PAGARE IL TICKET.,- ESCAPA DEL HOSPITAL SIN PAGAR.
- FIND WHERE YOUR WEAPONS ARE AND RAISE HELL,PG_OSP01_HM3,,- ARTROVA LE TU'ARMI E FAI UN CASINO,- RITROVA LE TUE ARMI E FAI UN CASINO!,- ENCUENTRA TUS ARMAS Y ARMA UN FOLLÓN!
YOU NEED A DEGREE TO ENTER,PG_OSP01_HM4,,PER ENTRA' CE VOLE NA LAUREA,PER ENTRARE CI VUOLE UNA LAUREA,PARA ENTRAR SE NECESITA UN TÍTULO
YOU HAVE TO PAY THE TICKET IF YOU WANT TO LEAVE,PG_OSP01_HM5,,DEVI PAGA' L TICKET SE VOI GI' VIA.,DEVI PAGARE IL TICKET SE VUOI ANDARE VIA,TIENES QUE PAGAR EL BILLETE SI QUIERES IRTE
,,,,,
WELCOME BACK TO PERUGIA!,PG_PERUGIA2_HM1,,BENTORNATO A PERUGIA!,BENTORNATO A PERUGIA!,BIENVENIDO DE VUELTA A PERUGIA!
THE CITY CENTER HAS GONE BERSERK!,PG_PERUGIA2_HM2,,L CENTRO E' ALLO SBANDO PIU' TOTALE!,IL CENTRO E' ALLO SBANDO PIU' TOTALE!,EL CENTRO ESTÁ TOTALMENTE DESCONTROLADO!
SURVIVE IN THIS JUNGLE AND GO TO THE PHARMACY!,PG_PERUGIA2_HM3,,SOPRAVVIVI DENTRO A STA GIUNGLA E VAI N FARMACIA!,SOPRAVVIVI DENTRO STA GIUNGLA E VAI IN FARMACIA!,SOBREVIVE EN ESTA JUNGLA Y VETE A LA FARMACIA!
BUT YOU HAVE TO GO TO TO THE POST OFFICE FIRST,PG_PERUGIA2_HM4,,MA PRIMA DEVI PASSA' ALLE POSTE,MA PRIMA DEVI PASSARE ALLE POSTE,PERO ANTES TIENES QUE PASAR POR CORREOS
YOU MUST GET INSURANCE TO BECOME A PROPER CITIZEN AND HAVE ACCESS TO HOSPITAL CARE.,PG_PERUGIA2_HM5,,DEVI FA' LO SPEED PER DIVENTA' N CITTADINO VERO E CURATTE.,DEVI FARE LO SPID PER DIVENTARE UN CITTADINO VERO E CURARTI.,TIENES QUE SACAR EL CARNET DIGITAL POR CURARTE Y SER UN VERDADERO CIUDADANO.
DAMN!,PG_PERUGIA2_HM6,,CHE SEGA!,CHE SEGA!,QUE COÑAZO!
"BE CAREFUL, EVERYONE WENT MAD!",PG_PERUGIA2_HM7,,IN GIRO SO' TUTTI IMPAZZITI OCCHIO!,IN GIRO SONO TUTTI IMPAZZITI OCCHIO!,"SE HAN VUELTO TODOS LOCOS POR AHI, OJO!"
"IF YOU DON'T STAY PUT, PEOPLE WILL GO BATSHIT CRAZY AND BEAT YOU UP",PG_PERUGIA2_HM8,,SE FARAI CASINO LA GENTE DARA' DE MATTO E TE MENERA',SE FARAI CASINO LA GENTE DARA' DI MATTO E TI MENERA',SI LA MONTAS LA GENTE SE VOLVERÁ MAJARA Y TE DARÁ DE HOSTIAS
IF YOU DON'T BEAT THEM UP FIRST,PG_PERUGIA2_HM9,,SE NON LI MENI PRIMA TU!,SE NON LI MENI PRIMA TU!,SI NO LOS PEGAS ANTES TÚ!
GOOD LUCK!,PG_PERUGIA2_HM10,,BONA FORTUNA!,BUONA FORTUNA!,SUERTE!
- GO TO THE POST OFFICE TO GET YOUR INSURANCE,PG_PERUGIA2_HM11,,- VAI ALLE POSTE E FAI LO SPPED,- VAI ALLE POSTE E FAI LO SPID,- VETE A CORREOS Y SACA EL CARNET DIGITAL
- TRY NOT TO DIE YET.,PG_PERUGIA2_HM12,,- CERCA DE NON MORI' PRIMA.,- CERCA DI NON MORIRE DURANTE,- TRATA DE NO MORIR ANTES.
"YOU CAN'T GET IN THE POST OFFICE,",PG_PERUGIA2_HM13,,"NON PUOI ENTRA' ALLE POSTE,","NON PUOI ENTRARE ALLE POSTE,","NO PUEDES ENTRAR EN CORREOS,"
YOU LOST YOUR ID!,PG_PERUGIA2_HM14,,HAI SPERSO LA TU' CARTA D'IDENTITA'!,HAI PERSO LA TUA CARTA D IDENTITA'!,HAS PERDIDO TU CARNET DE IDENTIDAD!
- FIND YOUR ID.,PG_PERUGIA2_HM15,,- ARTROVA LA TU CARTA D IDENTITA'.,- RITROVA LA TUA CARTA D IDENTITA',- ENCUENTRA TU CARNET DE IDENTIDAD
- THEY MUST USE IT TO SNORT COKE IN SOME SHITHOLE.,PG_PERUGIA2_HM16,,"- CE STARANNO A PIPPA' SOPRA SICURO, DENTRO A QUALCHE CESSO.","- CI STARANNO PIPPANDO SOPRA SICURO, DENTRO QUALCHE CESSO","ESTARÁN HACIENDOSE UNA RALLA ENCIMA DE ÉL, EN ALGUN CAGADERO"
,,,,,
TAKE YOUR INSURANCE AND BECOME A PROPER CITIZEN!,PG_POSTE_HM1,,PRENDI LO SPID E DIVENTA UN CITTADINO VERO!,PRENDI LO SPID E DIVENTA UN CITTADINO VERO!,RECOGE EL CARNET DIGITAL Y CONVERTETE EN UN VERDADERO CIUDADANO!
DAMN THERE IS A LINE!,PG_POSTE_HM2,,CHE SEGA C'E' LA FILA!,CHE SEGA C'E' LA FILA!,QUE COÑAZO HAY COLA!
- GET IN LINE OR KILL EVERYONE,PG_POSTE_HM3,,- METTETE N FILA O AMAZZA TA TUTTI,- METTITI IN FILA O AMMAZZA TUTTI,- PONTE EN LA COLA O MATA TODOS
