default,Identifier,Remarks,hu,it,es esm
- PRESS Q TO MAKE SURE THE GAME STUTTERS,ST_SPA01_HM3,,- PIGIA Q PER MANDA' TUTTO A SCATTI!,- PREMI Q PER MANDARE TUTTO A SCATTI,- PRESIONA Q PARA VER TODO A TROMPICONES
- PRESS F TO TURN ON THE LIGHT,ST_SPA01_HM4,,- PIGIA F PER ACENDE LA LUCE!,- PREMI F PER ACCENDERE LA LUCE,- PRESIONA F PARA ENCENDER LA LUZ
- PRESS R TO STAB!,ST_SPA01_HM5,,- PIGIA R PER SACCAGNARE!,- PREMI R PER ACCOLTELLARE!,- PRESIONA R PARA DAR NAVAJAZO!
- RIGHT-CLICK YOUR MOUSE  TO SHOOT FASTER!,ST_SPA01_HM6,,- SBOTONA COL TASTO DESTRO DEL MOUSE PER SPARA' PIU' FORTE!,- SBOTTONA COL TASTO DESTRO DEL MOUSE PER SPARARE PIU' FORTE!,- REVIENTA EL BOTÓN DERECHO DEL RATÓN PARA DISPARÁR MÁS RAPIDO!
\cfpress \cgQ \cffor the game to stutter!,ST_SPA01_HM7,,\cfPigia \cgQ \cfper rallenta ltempo!,\cfpremi \cgQ \cfper mandare tutto a scatti!,\cfpresiona \cgQ \cfpara ver todo a trompicones!
\cfpress \cgTHE SPACE BAR \n\cfto hold on to the edges!,ST_SPA01_HM8,,\cfPigia \cgBARRASPAZIO \n\cfper aggrappatte ta gli spigoli!,\cfpremi \cgBARRASPAZIO \n\cfper aggrapparti a gli spigoli!,\cfpresiona \cgBARRAespaciadora \n\cfpara agarrarte a las esquinas!
\cfpress \cgF6 \cfto save the game \n \cfWHENEVER YOU WANT!,ST_SPA01_HM9,,\cfPigia \cgEFFESEI \cfper salva lgioco \n \cfQUANDO TE PARE!,\cfpremi \cgF6 \cfper salvare il gioco \n \cfQUANDO TI PARE!,\cfpresiona \cgF6 \cfpara guardar el juego \n \cfCUANDO QUIERAS!
ENTRANCE RESERVED FOR COOP MEMBERS,ST_SPA01_HM10,,INGRESSO RISERVATO TA I SOCI DE LA COOP E BASTA,INGRESSO RISERVATO AI SOLI SOCI COOP,ENTRADA PERMITIDA EXCLUSIVAMENTE A LOS SOCIOS DE LA COOPERATIVA
YOU NEED THE GARDEN OF EDEN'S KEY,ST_SPA01_HM11,,TE SERVE LA CHIAVE DEL GIARDIN DEL'EDEN!,TI SERVE LA CHIAVE DEL GIARDINO DELL EDEN,NECESITAS LA LLAVE DEL JARDIN DEL EDEN
\cfPRESS \cgSHIFT \cfTO RUN,ST_SPA01_HM12,,\cfPIGIA \cgSHIFT \cfPER CORRE,\cfPREMI \cgSHIFT \cfPER CORRERE,\cfPRESIONA \cgSHIFT \cfPARA CORRER
\cfPRESS \cgQ,ST_SPA01_HM13,,\cfPIGIA \cgQ,\cfPREMI \cgQ,\cfPRESIONA \cgQ
\cfTO MAKE THE GAME STUTTER!,ST_SPA01_HM14,,\cfPER MANDA' TUTTO A SCATTI!,\cfPER MANDARE TUTTO A SCATTI!,\cfPARA VER TODO A TROMPICONES!
